pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw,date
493.0,6000.0,-6.5,-9.0,270.0,4.0,4.0,7.347880794884119e-16,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
474.0,6306.0,-8.0,-10.8,270.0,3.0,3.0,5.51091059616309e-16,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
456.0,6608.0,-9.6,-12.7,130.0,5.0,-3.83022221559489,3.2139380484326967,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
452.0,6677.0,-9.9,-13.1,124.0,7.0,-5.803263007885292,3.914350324295227,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
439.0,6900.0,-11.5,-14.6,105.0,14.0,-13.522961568046956,3.623466631435292,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
422.0,7201.0,-13.6,-16.5,115.0,14.0,-12.6883090185131,5.916655664369791,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
406.0,7496.0,-15.7,-18.5,95.0,25.0,-24.90486745229364,2.1788935686914557,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
400.0,7610.0,-16.5,-19.2,95.0,25.0,-24.90486745229364,2.1788935686914557,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
374.0,8110.0,-19.7,-23.5,85.0,27.0,-26.89725684847713,-2.3532050541867697,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
360.0,8394.0,-21.5,-26.0,68.0,26.0,-24.106780218736475,-9.739771428813711,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
345.0,8705.0,-24.3,-26.9,50.0,24.0,-18.385066634855473,-15.426902632476946,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
340.0,8812.0,-25.3,-27.2,54.0,25.0,-20.225424859373685,-14.694631307311829,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
328.0,9072.0,-26.1,-32.1,63.0,29.0,-25.839189201462666,-13.165724492446857,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
300.0,9710.0,-31.1,-37.1,85.0,38.0,-37.85539852748633,-3.3119182244110092,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
292.0,9900.0,-32.5,-39.3,90.0,37.0,-37.0,-2.2655965784226034e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
289.0,9972.0,-33.1,-40.1,90.0,38.0,-38.0,-2.326828918379971e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
281.0,10167.0,-34.5,-41.5,90.0,39.0,-39.0,-2.388061258337339e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
272.0,10393.0,-35.3,-49.3,90.0,41.0,-41.0,-2.510525938252074e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
250.0,10970.0,-40.5,-50.5,90.0,45.0,-45.0,-2.7554552980815448e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
246.0,11080.0,-41.5,-51.5,90.0,43.0,-43.0,-2.6329906181668092e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
245.0,11108.0,-41.7,-51.4,90.0,43.0,-43.0,-2.6329906181668092e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
235.0,11390.0,-44.1,-49.8,95.0,49.0,-48.81354020649553,4.270631394635253,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
